Origin,Transit,Airport,Airlines,Destination,Traffic Condition,Weather Condition,Vehicle Available,Personel Available,Runway Occupancy Time,Estimated Time menit,Estimated Time spesifik
Jakarta(CGK),Langsung,Kualanamu International Airport (KNO),AirAsia,Sumatera Utara,Heavy,Fog,NOO,YESS,100,236,3 jam 56 menit
Jakarta(CGK),Langsung,Kualanamu International Airport (KNO),Garuda Indonesia,Sumatera Utara,Moderate,Fog,YESS,NOO,84,433,7 jam 13 menit
Jakarta(CGK),Padang (PDG),Kualanamu International Airport (KNO),Lion Air,Sumatera Utara,Heavy,Clear,YESS,YESS,103,428,7 jam 8 menit
Jakarta(CGK),Padang (PDG),Kualanamu International Airport (KNO),Sriwijaya Air,Sumatera Utara,Normal,Rain,NOO,NOO,120,339,5 jam 39 menit
Jakarta(CGK),Padang (PDG),Kualanamu International Airport (KNO),Citilink,Sumatera Utara,Moderate,Fog,NOO,NOO,92,299,4 jam 59 menit
Jakarta(CGK),Padang (PDG),Kualanamu International Airport (KNO),AirAsia,Sumatera Utara,Moderate,Clear,NOO,NOO,69,401,6 jam 41 menit
Jakarta(CGK),Padang (PDG),Kualanamu International Airport (KNO),Garuda Indonesia,Sumatera Utara,Moderate,Rain,YESS,NOO,114,412,6 jam 52 menit
Jakarta(CGK),Langsung,Minangkabau International Airport (PDG),Lion Air,Sumatera Barat,Heavy,Rain,NOO,NOO,97,248,4 jam 8 menit
Jakarta(CGK),Langsung,Minangkabau International Airport (PDG),Sriwijaya Air,Sumatera Barat,Heavy,Clear,YESS,YESS,94,322,5 jam 22 menit
Jakarta(CGK),Langsung,Minangkabau International Airport (PDG),Citilink,Sumatera Barat,Normal,Rain,YESS,NOO,57,159,2 jam 39 menit
Jakarta(CGK),Langsung,Minangkabau International Airport (PDG),AirAsia,Sumatera Barat,Moderate,Partly Cloudy,NOO,NOO,105,278,4 jam 38 menit
Jakarta(CGK),Langsung,Minangkabau International Airport (PDG),Garuda Indonesia,Sumatera Barat,Moderate,Fog,YESS,NOO,83,182,3 jam 2 menit
Jakarta(CGK),Medan (KNO),Minangkabau International Airport (PDG),Lion Air,Sumatera Barat,Heavy,Clear,YESS,YESS,66,280,4 jam 40 menit
Jakarta(CGK),Medan (KNO),Minangkabau International Airport (PDG),Sriwijaya Air,Sumatera Barat,Moderate,Clear,NOO,NOO,66,165,2 jam 45 menit
Jakarta(CGK),Medan (KNO),Minangkabau International Airport (PDG),Citilink,Sumatera Barat,Normal,Clear,YESS,YESS,55,241,4 jam 1 menit
Jakarta(CGK),Medan (KNO),Minangkabau International Airport (PDG),AirAsia,Sumatera Barat,Moderate,Partly Cloudy,YESS,NOO,113,178,2 jam 58 menit
Jakarta(CGK),Medan (KNO),Minangkabau International Airport (PDG),Garuda Indonesia,Sumatera Barat,Moderate,Fog,NOO,NOO,113,192,3 jam 12 menit
Jakarta(CGK),Langsung,Sultan Syarif Kasim II International Airport (PKU),Lion Air,Riau,Heavy,Clear,NOO,YESS,109,352,5 jam 52 menit
Jakarta(CGK),Langsung,Sultan Syarif Kasim II International Airport (PKU),Sriwijaya Air,Riau,Moderate,Fog,NOO,YESS,78,240,4 jam 0 menit
Jakarta(CGK),Langsung,Sultan Syarif Kasim II International Airport (PKU),Citilink,Riau,Moderate,Rain,NOO,NOO,106,332,5 jam 32 menit
Jakarta(CGK),Langsung,Sultan Syarif Kasim II International Airport (PKU),AirAsia,Riau,Moderate,Clear,YESS,NOO,102,395,6 jam 35 menit
Jakarta(CGK),Langsung,Sultan Syarif Kasim II International Airport (PKU),Garuda Indonesia,Riau,Heavy,Clear,YESS,YESS,103,270,4 jam 30 menit
Jakarta(CGK),Pekanbaru (PKU),Sultan Syarif Kasim II International Airport (PKU),Lion Air,Riau,Moderate,Rain,NOO,YESS,96,221,3 jam 41 menit
Jakarta(CGK),Pekanbaru (PKU),Sultan Syarif Kasim II International Airport (PKU),Sriwijaya Air,Riau,Moderate,Rain,NOO,NOO,89,319,5 jam 19 menit
Jakarta(CGK),Pekanbaru (PKU),Sultan Syarif Kasim II International Airport (PKU),Citilink,Riau,Moderate,Fog,NOO,YESS,60,204,3 jam 24 menit
Jakarta(CGK),Pekanbaru (PKU),Sultan Syarif Kasim II International Airport (PKU),AirAsia,Riau,Moderate,Partly Cloudy,NOO,NOO,116,363,6 jam 3 menit
Jakarta(CGK),Pekanbaru (PKU),Sultan Syarif Kasim II International Airport (PKU),Garuda Indonesia,Riau,Moderate,Fog,YESS,NOO,111,129,2 jam 9 menit
Jakarta(CGK),Langsung,Raja Haji Fisabilillah Airport (TNJ),Lion Air,Kepulauan Riau,Heavy,Clear,NOO,NOO,104,361,6 jam 1 menit
Jakarta(CGK),Langsung,Raja Haji Fisabilillah Airport (TNJ),Sriwijaya Air,Kepulauan Riau,Heavy,Fog,YESS,NOO,71,204,3 jam 24 menit
Jakarta(CGK),Langsung,Raja Haji Fisabilillah Airport (TNJ),Citilink,Kepulauan Riau,Moderate,Clear,YESS,YESS,55,276,4 jam 36 menit
Jakarta(CGK),Langsung,Raja Haji Fisabilillah Airport (TNJ),AirAsia,Kepulauan Riau,Moderate,Fog,YESS,YESS,73,437,7 jam 17 menit
Jakarta(CGK),Langsung,Raja Haji Fisabilillah Airport (TNJ),Garuda Indonesia,Kepulauan Riau,Moderate,Clear,YESS,NOO,60,435,7 jam 15 menit
Jakarta(CGK),Batam (BTH),Raja Haji Fisabilillah Airport (TNJ),Lion Air,Kepulauan Riau,Moderate,Fog,NOO,NOO,80,427,7 jam 7 menit
Jakarta(CGK),Batam (BTH),Raja Haji Fisabilillah Airport (TNJ),Sriwijaya Air,Kepulauan Riau,Moderate,Fog,YESS,YESS,75,251,4 jam 11 menit
Jakarta(CGK),Batam (BTH),Raja Haji Fisabilillah Airport (TNJ),Citilink,Kepulauan Riau,Heavy,Rain,NOO,NOO,71,350,5 jam 50 menit
Jakarta(CGK),Batam (BTH),Raja Haji Fisabilillah Airport (TNJ),AirAsia,Kepulauan Riau,Normal,Clear,NOO,NOO,110,154,2 jam 34 menit
Jakarta(CGK),Batam (BTH),Raja Haji Fisabilillah Airport (TNJ),Garuda Indonesia,Kepulauan Riau,Normal,Partly Cloudy,NOO,YESS,104,223,3 jam 43 menit
Jakarta(CGK),Palembang (PLM),Sultan Thaha Airport (DJB),Lion Air,Jambi,Moderate,Clear,YESS,YESS,100,189,3 jam 9 menit
Jakarta(CGK),Palembang (PLM),Sultan Thaha Airport (DJB),Sriwijaya Air,Jambi,Moderate,Partly Cloudy,YESS,YESS,64,333,5 jam 33 menit
Jakarta(CGK),Palembang (PLM),Sultan Thaha Airport (DJB),Citilink,Jambi,Moderate,Partly Cloudy,NOO,YESS,55,187,3 jam 7 menit
Jakarta(CGK),Palembang (PLM),Sultan Thaha Airport (DJB),AirAsia,Jambi,Heavy,Partly Cloudy,YESS,NOO,92,280,4 jam 40 menit
Jakarta(CGK),Palembang (PLM),Sultan Thaha Airport (DJB),Garuda Indonesia,Jambi,Normal,Clear,NOO,NOO,117,377,6 jam 17 menit
Jakarta(CGK),Medan (KNO),Sultan Thaha Airport (DJB),Lion Air,Jambi,Moderate,Rain,YESS,NOO,81,192,3 jam 12 menit
Jakarta(CGK),Medan (KNO),Sultan Thaha Airport (DJB),Sriwijaya Air,Jambi,Heavy,Partly Cloudy,NOO,YESS,92,164,2 jam 44 menit
Jakarta(CGK),Medan (KNO),Sultan Thaha Airport (DJB),Citilink,Jambi,Heavy,Fog,YESS,NOO,68,147,2 jam 27 menit
Jakarta(CGK),Medan (KNO),Sultan Thaha Airport (DJB),AirAsia,Jambi,Moderate,Clear,NOO,YESS,120,283,4 jam 43 menit
Jakarta(CGK),Medan (KNO),Sultan Thaha Airport (DJB),Garuda Indonesia,Jambi,Moderate,Partly Cloudy,NOO,YESS,105,252,4 jam 12 menit
Jakarta(CGK),Langsung,Sultan Mahmud Badaruddin II International Airport (PLM),Lion Air,Sumatera Selatan,Moderate,Rain,YESS,NOO,69,297,4 jam 57 menit
Jakarta(CGK),Langsung,Sultan Mahmud Badaruddin II International Airport (PLM),Sriwijaya Air,Sumatera Selatan,Moderate,Rain,YESS,NOO,114,185,3 jam 5 menit
Jakarta(CGK),Langsung,Sultan Mahmud Badaruddin II International Airport (PLM),Citilink,Sumatera Selatan,Normal,Rain,YESS,NOO,94,312,5 jam 12 menit
Jakarta(CGK),Langsung,Sultan Mahmud Badaruddin II International Airport (PLM),AirAsia,Sumatera Selatan,Moderate,Partly Cloudy,NOO,NOO,98,199,3 jam 19 menit
Jakarta(CGK),Langsung,Sultan Mahmud Badaruddin II International Airport (PLM),Garuda Indonesia,Sumatera Selatan,Moderate,Clear,NOO,NOO,63,238,3 jam 58 menit
Jakarta(CGK),Palembang (PLM),Sultan Mahmud Badaruddin II International Airport (PLM),Lion Air,Sumatera Selatan,Moderate,Rain,NOO,NOO,117,297,4 jam 57 menit
Jakarta(CGK),Palembang (PLM),Sultan Mahmud Badaruddin II International Airport (PLM),Sriwijaya Air,Sumatera Selatan,Moderate,Fog,NOO,YESS,81,166,2 jam 46 menit
Jakarta(CGK),Palembang (PLM),Sultan Mahmud Badaruddin II International Airport (PLM),Citilink,Sumatera Selatan,Normal,Partly Cloudy,NOO,YESS,104,432,7 jam 12 menit
Jakarta(CGK),Palembang (PLM),Sultan Mahmud Badaruddin II International Airport (PLM),AirAsia,Sumatera Selatan,Moderate,Clear,NOO,NOO,118,204,3 jam 24 menit
Jakarta(CGK),Palembang (PLM),Sultan Mahmud Badaruddin II International Airport (PLM),Garuda Indonesia,Sumatera Selatan,Moderate,Rain,YESS,NOO,71,407,6 jam 47 menit
Jakarta(CGK),Langsung,Depati Amir Airport (PGK),Lion Air,Bangka Belitung,Heavy,Rain,NOO,NOO,104,270,4 jam 30 menit
Jakarta(CGK),Langsung,Depati Amir Airport (PGK),Sriwijaya Air,Bangka Belitung,Normal,Rain,YESS,NOO,118,412,6 jam 52 menit
Jakarta(CGK),Langsung,Depati Amir Airport (PGK),Citilink,Bangka Belitung,Moderate,Rain,NOO,YESS,92,291,4 jam 51 menit
Jakarta(CGK),Langsung,Depati Amir Airport (PGK),AirAsia,Bangka Belitung,Moderate,Rain,NOO,NOO,110,314,5 jam 14 menit
Jakarta(CGK),Langsung,Depati Amir Airport (PGK),Garuda Indonesia,Bangka Belitung,Heavy,Rain,YESS,YESS,84,276,4 jam 36 menit
Jakarta(CGK),Palembang (PLM),Depati Amir Airport (PGK),Lion Air,Bangka Belitung,Moderate,Fog,NOO,NOO,83,204,3 jam 24 menit
Jakarta(CGK),Palembang (PLM),Depati Amir Airport (PGK),Sriwijaya Air,Bangka Belitung,Heavy,Partly Cloudy,YESS,YESS,96,206,3 jam 26 menit
Jakarta(CGK),Palembang (PLM),Depati Amir Airport (PGK),Citilink,Bangka Belitung,Moderate,Partly Cloudy,YESS,YESS,60,324,5 jam 24 menit
Jakarta(CGK),Palembang (PLM),Depati Amir Airport (PGK),AirAsia,Bangka Belitung,Normal,Rain,NOO,NOO,114,314,5 jam 14 menit
Jakarta(CGK),Palembang (PLM),Depati Amir Airport (PGK),Garuda Indonesia,Bangka Belitung,Moderate,Partly Cloudy,NOO,YESS,119,205,3 jam 25 menit
Jakarta(CGK),Medan (KNO),Fatmawati Soekarno Airport (BKS),Lion Air,Bengkulu,Normal,Partly Cloudy,NOO,NOO,87,166,2 jam 46 menit
Jakarta(CGK),Medan (KNO),Fatmawati Soekarno Airport (BKS),Sriwijaya Air,Bengkulu,Heavy,Clear,NOO,NOO,71,182,3 jam 2 menit
Jakarta(CGK),Medan (KNO),Fatmawati Soekarno Airport (BKS),Citilink,Bengkulu,Moderate,Rain,NOO,YESS,109,338,5 jam 38 menit
Jakarta(CGK),Medan (KNO),Fatmawati Soekarno Airport (BKS),AirAsia,Bengkulu,Moderate,Rain,YESS,NOO,93,184,3 jam 4 menit
Jakarta(CGK),Medan (KNO),Fatmawati Soekarno Airport (BKS),Garuda Indonesia,Bengkulu,Moderate,Fog,NOO,YESS,118,189,3 jam 9 menit
Jakarta(CGK),Palembang (PLM),Fatmawati Soekarno Airport (BKS),Lion Air,Bengkulu,Normal,Fog,NOO,YESS,86,284,4 jam 44 menit
Jakarta(CGK),Palembang (PLM),Fatmawati Soekarno Airport (BKS),Sriwijaya Air,Bengkulu,Normal,Partly Cloudy,YESS,YESS,116,133,2 jam 13 menit
Jakarta(CGK),Palembang (PLM),Fatmawati Soekarno Airport (BKS),Citilink,Bengkulu,Moderate,Fog,NOO,YESS,60,231,3 jam 51 menit
Jakarta(CGK),Palembang (PLM),Fatmawati Soekarno Airport (BKS),AirAsia,Bengkulu,Moderate,Fog,YESS,NOO,62,199,3 jam 19 menit
Jakarta(CGK),Palembang (PLM),Fatmawati Soekarno Airport (BKS),Garuda Indonesia,Bengkulu,Heavy,Fog,NOO,NOO,75,423,7 jam 3 menit
Jakarta(CGK),Langsung,Radin Inten II Airport (TKG),Lion Air,Lampung,Heavy,Rain,YESS,NOO,69,276,4 jam 36 menit
Jakarta(CGK),Langsung,Radin Inten II Airport (TKG),Sriwijaya Air,Lampung,Normal,Rain,YESS,NOO,75,313,5 jam 13 menit
Jakarta(CGK),Langsung,Radin Inten II Airport (TKG),Citilink,Lampung,Heavy,Partly Cloudy,YESS,YESS,62,243,4 jam 3 menit
Jakarta(CGK),Langsung,Radin Inten II Airport (TKG),AirAsia,Lampung,Heavy,Rain,NOO,NOO,81,341,5 jam 41 menit
Jakarta(CGK),Langsung,Radin Inten II Airport (TKG),Garuda Indonesia,Lampung,Moderate,Partly Cloudy,NOO,YESS,109,352,5 jam 52 menit
Jakarta(CGK),Palembang (PLM),Radin Inten II Airport (TKG),Lion Air,Lampung,Heavy,Partly Cloudy,NOO,NOO,55,189,3 jam 9 menit
Jakarta(CGK),Palembang (PLM),Radin Inten II Airport (TKG),Sriwijaya Air,Lampung,Normal,Rain,YESS,YESS,112,268,4 jam 28 menit
Jakarta(CGK),Palembang (PLM),Radin Inten II Airport (TKG),Citilink,Lampung,Moderate,Clear,YESS,YESS,112,245,4 jam 5 menit
Jakarta(CGK),Palembang (PLM),Radin Inten II Airport (TKG),AirAsia,Lampung,Heavy,Partly Cloudy,NOO,NOO,102,144,2 jam 24 menit
Jakarta(CGK),Palembang (PLM),Radin Inten II Airport (TKG),Garuda Indonesia,Lampung,Heavy,Rain,YESS,YESS,70,344,5 jam 44 menit
Jakarta(CGK),Langsung,Husein Sastranegara International Airport (BDO),Lion Air,Jawa Barat,Heavy,Rain,YESS,NOO,66,153,2 jam 33 menit
Jakarta(CGK),Langsung,Husein Sastranegara International Airport (BDO),Sriwijaya Air,Jawa Barat,Heavy,Clear,NOO,NOO,109,205,3 jam 25 menit
Jakarta(CGK),Langsung,Husein Sastranegara International Airport (BDO),Citilink,Jawa Barat,Heavy,Clear,NOO,NOO,113,416,6 jam 56 menit
Jakarta(CGK),Langsung,Husein Sastranegara International Airport (BDO),AirAsia,Jawa Barat,Moderate,Rain,YESS,NOO,76,157,2 jam 37 menit
Jakarta(CGK),Langsung,Husein Sastranegara International Airport (BDO),Garuda Indonesia,Jawa Barat,Moderate,Partly Cloudy,NOO,YESS,112,415,6 jam 55 menit
Jakarta(CGK),Bandung (BDO),Husein Sastranegara International Airport (BDO),Lion Air,Jawa Barat,Moderate,Clear,YESS,NOO,61,170,2 jam 50 menit
Jakarta(CGK),Bandung (BDO),Husein Sastranegara International Airport (BDO),Sriwijaya Air,Jawa Barat,Moderate,Fog,NOO,NOO,100,350,5 jam 50 menit
Jakarta(CGK),Bandung (BDO),Husein Sastranegara International Airport (BDO),Citilink,Jawa Barat,Heavy,Partly Cloudy,NOO,YESS,89,150,2 jam 30 menit
Jakarta(CGK),Bandung (BDO),Husein Sastranegara International Airport (BDO),AirAsia,Jawa Barat,Moderate,Partly Cloudy,YESS,NOO,93,428,7 jam 8 menit
Jakarta(CGK),Bandung (BDO),Husein Sastranegara International Airport (BDO),Garuda Indonesia,Jawa Barat,Heavy,Fog,NOO,NOO,94,137,2 jam 17 menit
Jakarta(CGK),Langsung,Bandar Udara Budiarto(BTO),Lion Air,Banten,Moderate,Rain,YESS,NOO,119,303,5 jam 3 menit
Jakarta(CGK),Langsung,Bandar Udara Budiarto(BTO),Sriwijaya Air,Banten,Normal,Clear,YESS,NOO,107,288,4 jam 48 menit
Jakarta(CGK),Langsung,Bandar Udara Budiarto(BTO),Citilink,Banten,Moderate,Fog,YESS,YESS,72,290,4 jam 50 menit
Jakarta(CGK),Langsung,Bandar Udara Budiarto(BTO),AirAsia,Banten,Normal,Fog,YESS,NOO,54,288,4 jam 48 menit
Jakarta(CGK),Langsung,Bandar Udara Budiarto(BTO),Garuda Indonesia,Banten,Normal,Partly Cloudy,NOO,NOO,59,154,2 jam 34 menit
Jakarta(CGK),Langsung,Ahmad Yani International Airport (SRG),Lion Air,Jawa Tengah ,Heavy,Partly Cloudy,YESS,NOO,71,158,2 jam 38 menit
Jakarta(CGK),Langsung,Ahmad Yani International Airport (SRG),Sriwijaya Air,Jawa Tengah ,Moderate,Rain,YESS,YESS,85,177,2 jam 57 menit
Jakarta(CGK),Langsung,Ahmad Yani International Airport (SRG),Citilink,Jawa Tengah ,Normal,Partly Cloudy,NOO,NOO,100,164,2 jam 44 menit
Jakarta(CGK),Langsung,Ahmad Yani International Airport (SRG),AirAsia,Jawa Tengah ,Moderate,Partly Cloudy,NOO,YESS,56,247,4 jam 7 menit
Jakarta(CGK),Langsung,Ahmad Yani International Airport (SRG),Garuda Indonesia,Jawa Tengah ,Normal,Partly Cloudy,YESS,NOO,82,336,5 jam 36 menit
Jakarta(CGK),Semarang (SRG),Ahmad Yani International Airport (SRG),Lion Air,Jawa Tengah ,Normal,Clear,YESS,YESS,92,227,3 jam 47 menit
Jakarta(CGK),Semarang (SRG),Ahmad Yani International Airport (SRG),Sriwijaya Air,Jawa Tengah ,Normal,Partly Cloudy,YESS,YESS,107,167,2 jam 47 menit
Jakarta(CGK),Semarang (SRG),Ahmad Yani International Airport (SRG),Citilink,Jawa Tengah ,Moderate,Fog,YESS,YESS,106,383,6 jam 23 menit
Jakarta(CGK),Semarang (SRG),Ahmad Yani International Airport (SRG),AirAsia,Jawa Tengah ,Moderate,Partly Cloudy,NOO,YESS,84,129,2 jam 9 menit
Jakarta(CGK),Semarang (SRG),Ahmad Yani International Airport (SRG),Garuda Indonesia,Jawa Tengah ,Moderate,Partly Cloudy,NOO,YESS,69,438,7 jam 18 menit
Jakarta(CGK),Langsung,Yogyakarta: Yogyakarta International Airport (YIA),Lion Air,DI Yogyakarta,Heavy,Partly Cloudy,YESS,NOO,74,417,6 jam 57 menit
Jakarta(CGK),Langsung,Yogyakarta: Yogyakarta International Airport (YIA),Sriwijaya Air,DI Yogyakarta,Moderate,Partly Cloudy,YESS,YESS,70,436,7 jam 16 menit
Jakarta(CGK),Langsung,Yogyakarta: Yogyakarta International Airport (YIA),Citilink,DI Yogyakarta,Heavy,Partly Cloudy,NOO,NOO,55,346,5 jam 46 menit
Jakarta(CGK),Langsung,Yogyakarta: Yogyakarta International Airport (YIA),AirAsia,DI Yogyakarta,Moderate,Rain,NOO,YESS,99,152,2 jam 32 menit
Jakarta(CGK),Langsung,Yogyakarta: Yogyakarta International Airport (YIA),Garuda Indonesia,DI Yogyakarta,Normal,Partly Cloudy,YESS,YESS,116,412,6 jam 52 menit
Jakarta(CGK),Semarang (SRG),Yogyakarta: Yogyakarta International Airport (YIA),Lion Air,DI Yogyakarta,Heavy,Clear,YESS,YESS,94,159,2 jam 39 menit
Jakarta(CGK),Semarang (SRG),Yogyakarta: Yogyakarta International Airport (YIA),Sriwijaya Air,DI Yogyakarta,Moderate,Clear,YESS,YESS,83,344,5 jam 44 menit
Jakarta(CGK),Semarang (SRG),Yogyakarta: Yogyakarta International Airport (YIA),Citilink,DI Yogyakarta,Moderate,Fog,YESS,NOO,80,135,2 jam 15 menit
Jakarta(CGK),Semarang (SRG),Yogyakarta: Yogyakarta International Airport (YIA),AirAsia,DI Yogyakarta,Moderate,Rain,YESS,YESS,91,437,7 jam 17 menit
Jakarta(CGK),Semarang (SRG),Yogyakarta: Yogyakarta International Airport (YIA),Garuda Indonesia,DI Yogyakarta,Heavy,Rain,NOO,YESS,82,316,5 jam 16 menit
Jakarta(CGK),Langsung,Juanda International Airport (SUB),Lion Air,Jawa Timur ,Moderate,Clear,YESS,NOO,109,422,7 jam 2 menit
Jakarta(CGK),Langsung,Juanda International Airport (SUB),Sriwijaya Air,Jawa Timur ,Moderate,Rain,YESS,NOO,116,210,3 jam 30 menit
Jakarta(CGK),Langsung,Juanda International Airport (SUB),Citilink,Jawa Timur ,Heavy,Rain,YESS,NOO,112,327,5 jam 27 menit
Jakarta(CGK),Langsung,Juanda International Airport (SUB),AirAsia,Jawa Timur ,Heavy,Rain,YESS,YESS,71,302,5 jam 2 menit
Jakarta(CGK),Langsung,Juanda International Airport (SUB),Garuda Indonesia,Jawa Timur ,Normal,Fog,YESS,NOO,92,313,5 jam 13 menit
Jakarta(CGK),Denpasar (DPS),Juanda International Airport (SUB),Lion Air,Jawa Timur ,Normal,Partly Cloudy,NOO,NOO,98,195,3 jam 15 menit
Jakarta(CGK),Denpasar (DPS),Juanda International Airport (SUB),Sriwijaya Air,Jawa Timur ,Moderate,Rain,YESS,YESS,104,273,4 jam 33 menit
Jakarta(CGK),Denpasar (DPS),Juanda International Airport (SUB),Citilink,Jawa Timur ,Heavy,Clear,YESS,NOO,95,233,3 jam 53 menit
Jakarta(CGK),Denpasar (DPS),Juanda International Airport (SUB),AirAsia,Jawa Timur ,Moderate,Rain,NOO,NOO,75,349,5 jam 49 menit
Jakarta(CGK),Denpasar (DPS),Juanda International Airport (SUB),Garuda Indonesia,Jawa Timur ,Moderate,Partly Cloudy,NOO,YESS,104,301,5 jam 1 menit
Jakarta(CGK),Langsung,Ngurah Rai International Airport (DPS),Lion Air,Bali,Normal,Fog,NOO,NOO,54,311,5 jam 11 menit
Jakarta(CGK),Langsung,Ngurah Rai International Airport (DPS),Sriwijaya Air,Bali,Moderate,Clear,NOO,NOO,115,148,2 jam 28 menit
Jakarta(CGK),Langsung,Ngurah Rai International Airport (DPS),Citilink,Bali,Moderate,Rain,YESS,NOO,68,401,6 jam 41 menit
Jakarta(CGK),Langsung,Ngurah Rai International Airport (DPS),AirAsia,Bali,Heavy,Clear,NOO,YESS,102,317,5 jam 17 menit
Jakarta(CGK),Langsung,Ngurah Rai International Airport (DPS),Garuda Indonesia,Bali,Moderate,Partly Cloudy,NOO,YESS,93,317,5 jam 17 menit
Jakarta(CGK),Surabaya (SUB,Ngurah Rai International Airport (DPS),Lion Air,Bali,Moderate,Fog,NOO,YESS,83,422,7 jam 2 menit
Jakarta(CGK),Surabaya (SUB,Ngurah Rai International Airport (DPS),Sriwijaya Air,Bali,Heavy,Rain,YESS,YESS,71,203,3 jam 23 menit
Jakarta(CGK),Surabaya (SUB,Ngurah Rai International Airport (DPS),Citilink,Bali,Moderate,Rain,NOO,YESS,72,139,2 jam 19 menit
Jakarta(CGK),Surabaya (SUB,Ngurah Rai International Airport (DPS),AirAsia,Bali,Heavy,Fog,NOO,NOO,78,371,6 jam 11 menit
Jakarta(CGK),Surabaya (SUB,Ngurah Rai International Airport (DPS),Garuda Indonesia,Bali,Normal,Partly Cloudy,NOO,NOO,114,424,7 jam 4 menit
Jakarta(CGK),Langsung,Lombok International Airport (LOP),Lion Air,NTB,Moderate,Rain,NOO,NOO,119,288,4 jam 48 menit
Jakarta(CGK),Langsung,Lombok International Airport (LOP),Sriwijaya Air,NTB,Normal,Clear,NOO,NOO,55,352,5 jam 52 menit
Jakarta(CGK),Langsung,Lombok International Airport (LOP),Citilink,NTB,Normal,Partly Cloudy,YESS,YESS,83,203,3 jam 23 menit
Jakarta(CGK),Langsung,Lombok International Airport (LOP),AirAsia,NTB,Heavy,Clear,NOO,YESS,109,299,4 jam 59 menit
Jakarta(CGK),Langsung,Lombok International Airport (LOP),Garuda Indonesia,NTB,Normal,Fog,NOO,NOO,105,339,5 jam 39 menit
Jakarta(CGK),Surabaya (SUB),Lombok International Airport (LOP),Lion Air,NTB,Normal,Rain,YESS,NOO,102,249,4 jam 9 menit
Jakarta(CGK),Surabaya (SUB),Lombok International Airport (LOP),Sriwijaya Air,NTB,Normal,Clear,NOO,YESS,74,363,6 jam 3 menit
Jakarta(CGK),Surabaya (SUB),Lombok International Airport (LOP),Citilink,NTB,Normal,Rain,NOO,NOO,75,254,4 jam 14 menit
Jakarta(CGK),Surabaya (SUB),Lombok International Airport (LOP),AirAsia,NTB,Heavy,Partly Cloudy,YESS,YESS,101,182,3 jam 2 menit
Jakarta(CGK),Surabaya (SUB),Lombok International Airport (LOP),Garuda Indonesia,NTB,Moderate,Partly Cloudy,NOO,YESS,114,254,4 jam 14 menit
Jakarta(CGK),Denpasar (DPS),El Tari Airport (KOE),Lion Air,NTT,Moderate,Rain,NOO,YESS,113,177,2 jam 57 menit
Jakarta(CGK),Denpasar (DPS),El Tari Airport (KOE),Sriwijaya Air,NTT,Normal,Partly Cloudy,NOO,YESS,60,157,2 jam 37 menit
Jakarta(CGK),Denpasar (DPS),El Tari Airport (KOE),Citilink,NTT,Heavy,Fog,NOO,YESS,112,263,4 jam 23 menit
Jakarta(CGK),Denpasar (DPS),El Tari Airport (KOE),AirAsia,NTT,Normal,Rain,NOO,YESS,67,413,6 jam 53 menit
